Source.Country,Event.Date,affinity,GDP.growth.(annual.%).[NY.GDP.MKTP.KD.ZG],GDP.per.capita.growth.(annual.%).[NY.GDP.PCAP.KD.ZG],"Current.health.expenditure.per.capita,.PPP.(current.international.$).[SH.XPD.CHEX.PP.CD]",Current.health.expenditure.(%.of.GDP).[SH.XPD.CHEX.GD.ZS],"GDP.per.capita,.PPP.(constant.2017.international.$).[NY.GDP.PCAP.PP.KD]","GDP,.PPP.(constant.2017.international.$).[NY.GDP.MKTP.PP.KD]","Government.expenditure.on.education,.total.(%.of.government.expenditure).[SE.XPD.TOTL.GB.ZS]",Total.natural.resources.rents.(%.of.GDP).[NY.GDP.TOTL.RT.ZS],Proportion.of.seats.held.by.women.in.national.parliaments.(%).[SG.GEN.PARL.ZS],Women.Business.and.the.Law.Index.Score.(scale.1-100).[SG.LAW.INDX],"Life.expectancy.at.birth,.total.(years).[SP.DYN.LE00.IN]","Mortality.rate,.infant.(per.1,000.live.births).[SP.DYN.IMRT.IN]",Research.and.development.expenditure.(%.of.GDP).[GB.XPD.RSDV.GD.ZS],High-technology.exports.(%.of.manufactured.exports).[TX.VAL.TECH.MF.ZS],Individuals.using.the.Internet.(%.of.population).[IT.NET.USER.ZS],ICT.goods.exports.(%.of.total.goods.exports).[TX.VAL.ICTG.ZS.UN],ICT.goods.imports.(%.total.goods.imports).[TM.VAL.ICTG.ZS.UN],"ICT.service.exports.(%.of.service.exports,.BoP).[BX.GSR.CCIS.ZS]",Gini.index.[SI.POV.GINI],Ease.of.doing.business.score.(0.=.lowest.performance.to.100.=.best.performance).[IC.BUS.DFRN.XQ],Military.expenditure.(%.of.general.government.expenditure).[MS.MIL.XPND.ZS],Goods.Value.of.Trade.Balance.US.Dollars,Total.Score,Political.Rights,Civil.Liberties
Greece,2019,2.2184713375796177,1.88,1.99,2418.81,7.84,29721.59,318662418917.77,7.5,0.07,20.67,97.5,81.64,3.5,1.28,12.51,75.67,3.11,4.48,2.73,33.1,68.42,5.58,90825111,86,35,51
Guatemala,2015,1.2693548387096774,4.09,2.35,471.42,6.01,8125.66,126495484346.15,24.09,1.79,13.92,70.63,72.1,23.8,0.03,5.48,28.81,0.27,6.16,19.69,40.8,61.68,3.23,-2815910000,49,20,29
Guatemala,2016,1.5657894736842106,2.68,0.99,476.33,6.07,8206.05,129882783658.34,23.43,2.02,13.92,70.63,72.36,23,0.02,5.82,34.51,0.23,6.24,19.74,40,61.96,3.51,-3067851500,49,20,29
Guatemala,2017,1.7156862745098038,3.08,1.42,485.64,6.14,8322.22,133882980507.73,23.09,1.51,12.66,70.63,72.55,22.2,0.03,5.34,37.9,0.21,6.41,20.63,38.8,61.53,3,-3610184600,49,20,29
Guatemala,2018,1.603846153846154,3.41,1.77,502.32,6.12,8469.12,138444204157.75,23.75,1.21,12.66,70.63,72.73,21.5,0.03,5.31,41.5,0.21,6.14,20.01,38.6,62.53,2.82,-3529318900,49,20,29
Guatemala,2019,3.256701030927835,4,2.39,529.12,6.21,8671.7,143985177388.63,23.76,1.16,19.38,70.63,73.13,20.8,0.03,4.92,44.4,0.19,6.55,20.23,38.8,62.6,3.2,-3735545500,49,20,29
Honduras,2015,1.4875,3.84,1.98,360.97,7.48,5180.19,48147271125.42,24.64,1.58,25.78,75,72.49,17.5,0.01,1.31,27.1,0.17,8.36,8.31,49.2,56.13,6.42,-1903445676,48,22,26
Honduras,2016,1.4583333333333333,3.89,2.07,395.87,7.69,5287.25,50021631004.08,18.01,2.03,25.78,75,72.59,16.9,0.14,2.84,29.5,0.52,5.49,9.21,49.8,55.74,6.08,-1666125011,48,22,26
Honduras,2017,1.7054545454545456,4.84,3.03,388.78,6.99,5447.7,52444135530.23,19.67,1.74,16,75,72.69,16.3,0.04,3.12,31.7,0.45,5.16,9.95,49.4,55.89,6.41,-2356883129,48,22,26
Honduras,2018,-0.11044776119402987,3.84,2.08,419.45,7.22,5561.26,54460609798.37,23.16,1.08,21.09,75,72.81,15.8,0.04,1.96,36,0.07,5.18,8.18,48.9,55.97,6.12,-2886722233,48,22,26
Honduras,2019,3.335632183908046,2.65,0.94,435.68,7.28,5613.66,55905485859.09,20.12,0.93,21.09,75,72.88,15.2,0.04,1.96,39.39,0.14,5.32,6.28,48.2,56.27,6.31,-2287775790,48,22,26
Hungary,2015,-0.10000000000000003,3.71,3.95,1834.46,6.86,27528.31,270961885297.98,8.92,0.29,10.1,96.88,75.57,4.2,1.34,17.08,72.83,11.62,12.58,8.08,30.4,71.07,1.8,970970511,66,24,42
